,Date,District,Community Area,Time Period,Average Traffic condition_x,SEGMENTID,WEATHER,PER CAPITA INCOME,Day,Crime Rate,dayOfWeek,SPEED,PER CAPITA INCOME 
45,2013-01-27 19:00:00,10,29.0,afternoon,free flow,532,Snow,Low,2013-01-27,0.02418207681365576,weekend,23.29134939458245,12034
46,2013-01-28 08:00:00,10,29.0,morning,free flow,532,Sunny,Low,2013-01-28,0.012141280353200883,weekday,23.29134939458245,12034
47,2013-01-30 16:00:00,10,29.0,afternoon,free flow,532,Cloudy,Low,2013-01-30,0.021052631578947368,weekday,23.29134939458245,12034
48,2013-02-13 21:10:00,10,29.0,evening,free flow,532,Cloudy,Low,2013-02-13,0.017482517482517484,weekday,23.29134939458245,12034
49,2013-02-18 02:30:00,10,29.0,evening,free flow,532,Sunny,Low,2013-02-18,0.015873015873015872,weekday,23.29134939458245,12034
50,2013-03-11 15:21:00,10,29.0,afternoon,free flow,532,Sunny,Low,2013-03-11,0.024301336573511544,weekday,23.29134939458245,12034
51,2013-03-16 03:30:00,10,29.0,evening,free flow,532,Sunny,Low,2013-03-16,0.015776699029126214,weekend,23.29134939458245,12034
52,2013-03-18 18:28:00,10,29.0,afternoon,free flow,532,Snow,Low,2013-03-18,0.022727272727272728,weekday,23.29134939458245,12034
53,2013-03-23 05:00:00,10,29.0,morning,free flow,532,Sunny,Low,2013-03-23,0.011553273427471117,weekend,23.29134939458245,12034
54,2013-03-31 19:27:00,10,29.0,afternoon,free flow,532,Cloudy,Low,2013-03-31,0.01694915254237288,weekend,23.29134939458245,12034
55,2013-04-27 08:00:00,10,29.0,morning,free flow,532,Cloudy,Low,2013-04-27,0.014942528735632184,weekend,23.29134939458245,12034
56,2013-05-25 23:30:00,10,29.0,evening,free flow,532,Sunny,Low,2013-05-25,0.025089605734767026,weekend,23.29134939458245,12034
57,2013-06-06 23:15:00,10,29.0,evening,free flow,532,Sunny,Low,2013-06-06,0.019791666666666666,weekday,23.29134939458245,12034
58,2013-06-15 16:40:00,10,29.0,afternoon,free flow,532,Cloudy,Low,2013-06-15,0.01905829596412556,weekend,23.29134939458245,12034
59,2013-06-17 00:00:00,10,29.0,evening,free flow,532,Cloudy,Low,2013-06-17,0.012745098039215686,weekday,23.29134939458245,12034
60,2013-07-08 15:31:00,10,29.0,afternoon,free flow,532,Cloudy,Low,2013-07-08,0.02502844141069397,weekday,23.29134939458245,12034
61,2013-07-10 10:00:00,10,29.0,morning,free flow,532,Sunny,Low,2013-07-10,0.010344827586206896,weekday,23.29134939458245,12034
62,2013-07-12 18:00:00,10,29.0,afternoon,free flow,532,Cloudy,Low,2013-07-12,0.014846235418875928,weekday,23.29134939458245,12034
63,2013-07-26 23:45:00,10,29.0,evening,free flow,532,Sunny,Low,2013-07-26,0.020222446916076844,weekday,23.29134939458245,12034
64,2013-08-02 13:00:00,10,29.0,afternoon,free flow,532,Cloudy,Low,2013-08-02,0.023809523809523808,weekday,23.29134939458245,12034
65,2013-08-17 08:55:00,10,29.0,morning,free flow,532,Cloudy,Low,2013-08-17,0.006355932203389831,weekend,23.29134939458245,12034
66,2013-08-31 17:09:00,10,29.0,afternoon,free flow,532,Cloudy,Low,2013-08-31,0.01838235294117647,weekend,23.29134939458245,12034
67,2013-09-02 14:50:00,10,29.0,afternoon,free flow,532,Cloudy,Low,2013-09-02,0.025974025974025976,weekday,23.29134939458245,12034
68,2013-09-08 01:38:00,10,29.0,evening,free flow,532,Cloudy,Low,2013-09-08,0.016222479721900347,weekend,23.29134939458245,12034
69,2013-09-08 02:00:00,10,29.0,evening,free flow,532,Cloudy,Low,2013-09-08,0.016222479721900347,weekend,23.29134939458245,12034
70,2013-09-18 17:30:00,10,29.0,afternoon,free flow,532,Cloudy,Low,2013-09-18,0.01992966002344666,weekday,23.29134939458245,12034
71,2013-09-21 09:23:00,10,29.0,morning,free flow,532,Sunny,Low,2013-09-21,0.00995575221238938,weekend,23.29134939458245,12034
72,2013-09-26 12:00:00,10,29.0,afternoon,free flow,532,Cloudy,Low,2013-09-26,0.02456140350877193,weekday,23.29134939458245,12034
73,2013-10-02 00:34:00,10,29.0,evening,free flow,532,Sunny,Low,2013-10-02,0.012687427912341407,weekday,23.29134939458245,12034
74,2013-10-14 16:12:00,10,29.0,afternoon,free flow,532,Sunny,Low,2013-10-14,0.0280970625798212,weekday,23.29134939458245,12034
75,2013-10-18 03:15:00,10,29.0,evening,free flow,532,Sunny,Low,2013-10-18,0.010804321728691477,weekday,23.29134939458245,12034
76,2013-10-30 01:00:00,10,29.0,evening,free flow,532,Sunny,Low,2013-10-30,0.010830324909747292,weekday,23.29134939458245,12034
77,2013-10-31 22:58:00,10,29.0,evening,free flow,532,Sunny,Low,2013-10-31,0.010917030567685589,weekday,23.29134939458245,12034
78,2013-11-11 15:50:00,10,29.0,afternoon,free flow,532,Sunny,Low,2013-11-11,0.017543859649122806,weekday,23.29134939458245,12034
79,2013-12-07 04:00:00,10,29.0,morning,free flow,532,Sunny,Low,2013-12-07,0.007716049382716049,weekend,23.29134939458245,12034
